invoice_id,vendor_id,invoice_date,due_date,amount,tax_amount,currency,status,po_id,created_by
INV0073,V015,2025-01-02,2025-04-02,105774.62,5288.73,TWD,PAID,PO0026,FIN_USER_B
INV0074,V013,2025-02-23,2025-04-09,30534.86,1526.74,TWD,OPEN,PO0036,FIN_USER_C
INV0075,V001,2025-03-28,2025-04-27,1279780.9,102382.47,JPY,OPEN,PO0001,FIN_USER_A
INV0076,V009,2025-01-01,2025-04-01,110294.75,5514.74,TWD,PAID,PO0008,AP_CLERK_01
INV0077,V007,2025-01-19,2025-02-18,200844.05,10042.2,TWD,PAID,PO0113,FIN_USER_A
INV0078,V009,2025-01-02,2025-04-02,172741.29,8637.06,TWD,PAID,PO0099,FIN_USER_B
INV0079,V008,2025-02-22,2025-04-08,239429.98,11971.5,TWD,PAID,PO0180,FIN_USER_B
INV0080,V001,2025-02-13,2025-03-15,1391674.05,111333.92,JPY,PAID,PO0047,FIN_USER_B
INV0081,V012,2025-03-31,2025-05-15,761095.76,38054.79,TWD,PAID,PO0127,AP_CLERK_01
INV0082,V008,2025-02-01,2025-03-18,181512.28,9075.61,TWD,PAID,PO0056,FIN_USER_C
INV0083,V008,2025-03-11,2025-04-25,7159.39,501.16,USD,PAID,PO0014,AP_CLERK_01
INV0084,V015,2025-02-01,2025-05-02,61312.53,3065.63,TWD,OPEN,PO0028,FIN_USER_A
INV0085,V011,2025-03-09,2025-04-23,158153.32,7907.67,TWD,PAID,PO0078,AP_CLERK_01
INV0086,V003,2025-02-24,2025-05-25,75835.42,3791.77,TWD,OPEN,PO0130,FIN_USER_A
INV0087,V001,2025-03-16,2025-04-15,311639.52,15581.98,TWD,PAID,PO0109,AP_CLERK_01
INV0088,V008,2025-02-25,2025-04-11,222851.31,11142.57,TWD,PAID,PO0154,FIN_USER_C
INV0089,V003,2025-01-17,2025-04-17,1681.78,117.72,USD,OPEN,PO0014,FIN_USER_A
INV0090,V003,2025-02-07,2025-05-08,4592.39,321.47,USD,PAID,PO0187,FIN_USER_B
INV0091,V001,2025-01-24,2025-02-23,5602.43,392.17,USD,PAID,PO0056,FIN_USER_B
INV0092,V011,2025-03-10,2025-04-24,252019.03,20161.52,JPY,PAID,PO0115,AP_CLERK_01
INV0093,V005,2025-03-11,2025-05-10,365811.09,18290.55,TWD,OPEN,PO0007,FIN_USER_B
INV0094,V010,2025-03-27,2025-06-25,342332.92,17116.65,TWD,PAID,PO0003,FIN_USER_A
INV0095,V007,2025-01-11,2025-02-10,8591.33,601.39,USD,PAID,PO0111,FIN_USER_B
INV0096,V010,2025-01-16,2025-04-16,325347.93,16267.4,TWD,PAID,PO0151,FIN_USER_C
INV0097,V009,2025-03-14,2025-06-12,119412.15,5970.61,TWD,PAID,PO0107,FIN_USER_C
INV0098,V012,2025-02-28,2025-04-14,10017.16,701.2,USD,PAID,PO0018,AP_CLERK_01
INV0099,V007,2025-03-11,2025-04-10,7083.46,495.84,USD,PAID,PO0038,FIN_USER_A
INV0100,V009,2025-03-21,2025-06-19,87496.24,4374.81,TWD,PAID,PO0115,FIN_USER_C
INV0101,V008,2025-01-03,2025-02-17,250208.62,12510.43,TWD,PAID,PO0015,FIN_USER_C
INV0102,V012,2025-01-20,2025-03-06,470588.52,23529.43,TWD,PAID,PO0192,FIN_USER_A
INV0103,V002,2025-02-28,2025-05-29,100470.17,5023.51,TWD,OPEN,PO0119,FIN_USER_B
INV0104,V001,2025-02-05,2025-03-07,261433.7,13071.69,TWD,OPEN,PO0028,FIN_USER_B
INV0105,V007,2025-01-19,2025-02-18,256337.97,12816.9,TWD,PAID,PO0039,AP_CLERK_01
INV0106,V007,2025-03-31,2025-04-30,170392.24,8519.61,TWD,PAID,PO0185,FIN_USER_B
INV0107,V014,2025-03-08,2025-06-06,93955.66,4697.78,TWD,PAID,PO0017,FIN_USER_A
INV0108,V008,2025-01-19,2025-03-05,197545.48,9877.27,TWD,OPEN,PO0086,FIN_USER_C
INV0109,V005,2025-01-20,2025-03-21,274496.66,13724.83,TWD,OPEN,PO0126,FIN_USER_B
INV0110,V003,2025-03-12,2025-06-10,63777.82,3188.89,TWD,OPEN,PO0044,AP_CLERK_01
INV0111,V012,2025-02-21,2025-04-07,12681.01,887.67,USD,PAID,PO0025,FIN_USER_B
INV0112,V008,2025-02-02,2025-03-19,196707.6,9835.38,TWD,PAID,PO0145,FIN_USER_A
INV0113,V006,2025-02-09,2025-03-26,25245.98,1262.3,TWD,PAID,PO0013,AP_CLERK_01
INV0114,V011,2025-02-08,2025-03-25,61182.03,3059.1,TWD,PAID,PO0025,FIN_USER_B
INV0115,V003,2025-03-23,2025-06-21,1781.56,124.71,USD,PAID,PO0068,AP_CLERK_01
INV0116,V001,2025-01-01,2025-01-31,274386.34,13719.32,TWD,PAID,PO0138,FIN_USER_A
INV0117,V003,2025-01-11,2025-04-11,89949.04,4497.45,TWD,PAID,PO0067,FIN_USER_C
INV0118,V005,2025-02-26,2025-04-27,397535.62,19876.78,TWD,PAID,PO0109,FIN_USER_A
INV0119,V015,2025-03-30,2025-06-28,94014.47,4700.72,TWD,PAID,PO0146,FIN_USER_A
INV0120,V014,2025-02-19,2025-05-20,131043.44,6552.17,TWD,PAID,PO0111,FIN_USER_A
