payment_id,invoice_id,payment_date,amount,method,bank
PAY0039,INV0055,2025-04-01,2466712.55,Wire,CTBC
PAY0040,INV0056,2025-04-04,108714.02,Wire,CTBC
PAY0041,INV0056,2025-04-11,49439.5,Wire,Mega
PAY0042,INV0058,2025-03-15,7123.1,Cash,Mega
PAY0043,INV0059,2025-03-21,114007.81,Wire,Taishin
PAY0044,INV0059,2025-03-28,217099.16,Wire,Fubon
PAY0045,INV0060,2025-03-19,20309.11,Cheque,CTBC
PAY0046,INV0061,2025-07-02,140235.21,Wire,Mega
PAY0047,INV0062,2025-04-25,91378.55,Cash,Taishin
PAY0048,INV0063,2025-06-28,441975.71,Wire,Fubon
PAY0049,INV0064,2025-04-12,251362.45,Cheque,Mega
PAY0050,INV0067,2025-02-19,577540.0,Cheque,Taishin
PAY0051,INV0068,2025-03-26,694204.41,Wire,Taishin
PAY0052,INV0070,2025-03-02,67381.49,Cash,Fubon
PAY0053,INV0071,2025-09-16,32210.15,Cheque,Fubon
PAY0054,INV0073,2025-05-11,93692.85,Cash,Fubon
PAY0055,INV0074,2025-08-19,5250.0,Cash,Mega
PAY0056,INV0075,2025-02-09,26578.28,Wire,Fubon
PAY0057,INV0077,2025-06-05,343240.32,Cheque,Fubon
PAY0058,INV0078,2025-05-10,81604.48,Cash,Fubon
PAY0059,INV0079,2025-03-15,122329.96,Wire,Mega
PAY0060,INV0080,2025-08-06,227105.18,Wire,Taishin
PAY0061,INV0080,2025-08-13,152483.05,Wire,CTBC
PAY0062,INV0081,2025-03-28,522323.73,Cash,Fubon
PAY0063,INV0082,2025-05-21,268712.28,Cheque,Mega
PAY0064,INV0083,2025-06-02,225256.32,Cheque,Fubon
PAY0065,INV0084,2025-07-29,120041.1,Cash,CTBC
PAY0066,INV0085,2025-07-27,54428.65,Wire,Mega
PAY0067,INV0086,2025-09-03,108217.98,Cheque,Fubon
PAY0068,INV0087,2025-04-09,8618.35,Cheque,Mega
PAY0069,INV0088,2025-06-18,156845.71,Cash,CTBC
PAY0070,INV0090,2025-07-08,145855.69,Wire,Fubon
PAY0071,INV0091,2025-03-23,263809.38,Cheque,Fubon
PAY0072,INV0092,2025-04-01,63019.54,Wire,Fubon
PAY0073,INV0092,2025-04-08,99299.56,Wire,Mega
PAY0074,INV0094,2025-07-18,346798.32,Wire,CTBC
PAY0075,INV0095,2025-07-23,439565.12,Cash,Fubon
PAY0076,INV0097,2025-07-31,285991.88,Cheque,Mega
PAY0077,INV0098,2025-03-17,563270.53,Cheque,Fubon
PAY0078,INV0099,2025-07-31,167.19,Cheque,CTBC
PAY0079,INV0100,2025-06-25,106568.87,Wire,Fubon
PAY0080,INV0101,2025-07-19,289581.16,Wire,CTBC
PAY0081,INV0102,2025-06-20,944856.61,Wire,Mega
PAY0082,INV0103,2025-08-26,4271.27,Wire,Fubon
PAY0083,INV0103,2025-09-02,2185.04,Wire,CTBC
PAY0084,INV0104,2025-06-11,512516.9,Cheque,Taishin
PAY0085,INV0105,2025-02-22,122172.61,Wire,Mega
PAY0086,INV0106,2025-07-20,68987.39,Wire,Fubon
PAY0087,INV0106,2025-07-27,99156.44,Wire,Mega
PAY0088,INV0107,2025-09-16,48247.79,Cheque,Fubon
PAY0089,INV0108,2025-07-05,143257.23,Wire,CTBC
PAY0090,INV0109,2025-07-23,342501.5,Cheque,CTBC
PAY0091,INV0110,2025-09-28,91145.23,Cheque,Mega
PAY0092,INV0111,2025-03-27,707248.3,Cash,CTBC
PAY0093,INV0112,2025-08-06,43440.38,Wire,Taishin
PAY0094,INV0113,2025-03-11,40936.77,Cheque,CTBC
PAY0095,INV0115,2025-05-17,63751.03,Wire,CTBC
PAY0096,INV0116,2025-10-22,479033.0,Wire,Fubon
PAY0097,INV0117,2025-08-30,62918.73,Wire,CTBC
PAY0098,INV0118,2025-03-10,210484.13,Cash,Taishin
PAY0099,INV0119,2025-05-18,41475.59,Wire,CTBC
PAY0100,INV0119,2025-05-25,44338.29,Wire,Taishin
PAY0101,INV0120,2025-08-12,124109.85,Wire,Taishin
PAY0102,INV0121,2025-05-24,23156.98,Wire,Fubon
PAY0103,INV0122,2025-03-07,176481.16,Cheque,Mega
PAY0104,INV0125,2025-04-02,360097.99,Cash,CTBC
PAY0105,INV0126,2025-04-06,1694.24,Cheque,Fubon
PAY0106,INV0127,2025-08-24,183233.49,Cheque,Fubon
PAY0107,INV0128,2025-06-28,172749.87,Cheque,CTBC
PAY0108,INV0129,2025-06-11,146752.85,Wire,Mega
PAY0109,INV0129,2025-06-18,188708.86,Wire,CTBC
PAY0110,INV0130,2025-08-25,138403.63,Cash,CTBC
PAY0111,INV0131,2025-07-06,3325.36,Cash,Fubon
PAY0112,INV0132,2025-07-02,29316.77,Wire,CTBC
PAY0113,INV0132,2025-07-09,36910.61,Wire,Mega
PAY0114,INV0134,2025-05-04,1300211.91,Cheque,Mega
PAY0115,INV0135,2025-05-07,701510.72,Cheque,Fubon
PAY0116,INV0136,2025-04-03,41353.34,Cash,Mega
PAY0117,INV0137,2025-08-31,69099.07,Wire,Mega
PAY0118,INV0138,2025-06-08,75930.09,Cheque,Taishin
PAY0119,INV0139,2025-08-19,213359.78,Cash,Taishin
PAY0120,INV0140,2025-06-30,11287.06,Cash,CTBC
PAY0121,INV0141,2025-05-27,394852.62,Cheque,Taishin
PAY0122,INV0142,2025-04-22,46656.66,Wire,CTBC
PAY0123,INV0143,2025-06-22,149662.52,Cheque,Taishin
PAY0124,INV0144,2025-05-22,355143.04,Cheque,Taishin
PAY0125,INV0147,2025-04-13,272154.86,Wire,CTBC
PAY0126,INV0148,2025-03-03,42238.76,Cheque,Taishin
PAY0127,INV0150,2025-06-01,51197.0,Wire,Fubon
PAY0128,INV0152,2025-05-26,9709.31,Cash,CTBC
PAY0129,INV0153,2025-04-16,32284.33,Wire,Mega
PAY0130,INV0155,2025-02-21,57065.7,Wire,Taishin
PAY0131,INV0155,2025-02-28,38727.46,Wire,Taishin
PAY0132,INV0157,2025-02-20,45854.71,Wire,Mega
PAY0133,INV0158,2025-06-02,150786.37,Wire,Fubon
PAY0134,INV0158,2025-06-09,304993.99,Wire,Mega
PAY0135,INV0159,2025-07-29,129274.29,Cash,CTBC
PAY0136,INV0160,2025-06-30,41048.49,Cheque,Mega
PAY0137,INV0161,2025-04-08,17913.69,Wire,Fubon
PAY0138,INV0162,2025-07-04,233164.92,Cash,Fubon
PAY0139,INV0163,2025-05-30,141276.52,Cheque,Taishin
PAY0140,INV0165,2025-04-09,2840.84,Cash,Taishin
PAY0141,INV0167,2025-03-03,381576.62,Cheque,Fubon
PAY0142,INV0168,2025-06-08,934443.85,Cash,Fubon
PAY0143,INV0170,2025-07-18,5250.0,Cheque,Fubon
PAY0144,INV0171,2025-09-08,126035.91,Cash,Fubon
PAY0145,INV0173,2025-07-11,113618.12,Wire,Taishin
PAY0146,INV0174,2025-07-27,106209.02,Wire,Taishin
PAY0147,INV0175,2025-07-15,4917.92,Wire,Mega
PAY0148,INV0176,2025-03-10,22882.19,Wire,CTBC
PAY0149,INV0177,2025-07-09,129207.12,Cash,Fubon
PAY0150,INV0178,2025-04-05,318919.9,Cash,Fubon
PAY0151,INV0180,2025-05-23,1306.78,Wire,Fubon
PAY0152,INV0181,2025-04-01,144662.5,Wire,Mega
PAY0153,INV0181,2025-04-08,73251.7,Wire,Fubon
PAY0154,INV0182,2025-08-03,1739.66,Wire,Mega
PAY0155,INV0182,2025-08-10,1271.28,Wire,Mega
PAY0156,INV0183,2025-06-21,298196.69,Wire,Fubon
PAY0157,INV0184,2025-08-19,155761.52,Wire,Fubon
PAY0158,INV0187,2025-04-10,44406.02,Cheque,Mega
PAY0159,INV0188,2025-08-07,175305.96,Cheque,Fubon
PAY0160,INV0189,2025-04-02,3597.31,Cheque,Taishin
PAY0161,INV0190,2025-03-05,288602.11,Cheque,Taishin
PAY0162,INV0191,2025-05-26,227979.4,Wire,CTBC
PAY0163,INV0193,2025-06-07,170769.42,Wire,Mega
PAY0164,INV0195,2025-07-05,160579.5,Wire,Taishin
PAY0165,INV0196,2025-09-17,187322.54,Wire,Mega
PAY0166,INV0197,2025-06-09,165188.94,Wire,Mega
PAY0167,INV0197,2025-06-16,236604.68,Wire,CTBC
PAY0168,INV0199,2025-06-03,422316.84,Cash,Fubon
PAY0169,INV0200,2025-06-24,726233.31,Cash,Fubon
PAY0170,INV0201,2025-05-25,206180.96,Cash,Mega
PAY0171,INV0203,2025-07-25,206100.01,Wire,CTBC
PAY0172,INV0204,2025-07-12,50212.59,Wire,Fubon
PAY0173,INV0205,2025-08-13,2545.16,Wire,Fubon
PAY0174,INV0208,2025-04-07,14106.7,Cheque,CTBC
PAY0175,INV0209,2025-05-14,110114.14,Wire,CTBC
PAY0176,INV0210,2025-07-02,472708.09,Cheque,Fubon
PAY0177,INV0212,2025-09-27,249681.32,Cheque,Taishin
PAY0178,INV0213,2025-05-06,559947.18,Cash,Mega
PAY0179,INV0214,2025-05-06,89612.39,Cheque,CTBC
PAY0180,INV0215,2025-05-10,229162.19,Cheque,CTBC
PAY0181,INV0217,2025-07-16,81839.76,Wire,Fubon
PAY0182,INV0218,2025-02-26,145818.97,Cash,Fubon
PAY0183,INV0219,2025-03-14,441150.07,Wire,Taishin
PAY0184,INV0220,2025-04-14,326050.14,Cash,CTBC
PAY0185,INV0221,2025-05-24,128950.72,Cheque,Mega
PAY0186,INV0222,2025-03-02,1869180.38,Wire,Fubon
PAY0187,INV0223,2025-08-17,101890.69,Cash,CTBC
PAY0188,INV0224,2025-06-19,58500.02,Cash,Taishin
PAY0189,INV0225,2025-08-27,91696.84,Wire,Mega
PAY0190,INV0226,2025-06-30,143489.14,Wire,Taishin
PAY0191,INV0230,2025-03-26,319155.1,Wire,Taishin
PAY0192,INV0232,2025-04-22,330975.94,Cheque,CTBC
PAY0193,INV0234,2025-08-01,146802.97,Cash,Fubon
PAY0194,INV0236,2025-08-15,2389.77,Wire,Taishin
PAY0195,INV0236,2025-08-22,2860.23,Wire,Fubon
PAY0196,INV0237,2025-07-15,204568.34,Cheque,Taishin
PAY0197,INV0238,2025-08-17,307311.05,Wire,Fubon
PAY0198,INV0240,2025-07-10,171290.26,Wire,CTBC
PAY0199,INV0241,2025-08-07,286555.6,Wire,Mega
PAY0200,INV0242,2025-03-04,146311.17,Wire,CTBC
PAY0201,INV0243,2025-07-21,188843.41,Cash,Fubon
PAY0202,INV0244,2025-08-09,88244.52,Cash,Taishin
PAY0203,INV0245,2025-07-30,1113598.09,Wire,Mega
PAY0204,INV0246,2025-05-16,287823.63,Cash,Mega
PAY0205,INV0247,2025-04-19,63996.0,Cash,Mega
PAY0206,INV0248,2025-04-19,91805.26,Cheque,Mega
PAY0207,INV0249,2025-04-20,157345.91,Wire,Fubon
PAY0208,INV0250,2025-08-08,415267.42,Wire,Mega
PAY0209,INV0251,2025-09-15,241213.89,Wire,Taishin
PAY0210,INV0253,2025-03-29,34302.97,Wire,Fubon
PAY0211,INV0253,2025-04-05,23026.88,Wire,Mega
PAY0212,INV0254,2025-03-29,93431.32,Cheque,Taishin
PAY0213,INV0256,2025-08-14,310355.56,Cheque,Fubon
PAY0214,INV0258,2025-07-02,132699.99,Cash,Fubon
PAY0215,INV0260,2025-06-27,4459.69,Wire,Taishin
PAY0216,INV0261,2025-03-26,61744.82,Cash,Fubon
PAY0217,INV0262,2025-05-04,23198.87,Cash,CTBC
PAY0218,INV0263,2025-07-01,94004.75,Wire,CTBC
PAY0219,INV0264,2025-06-29,65558.56,Wire,CTBC
PAY0220,INV0265,2025-05-27,584547.19,Cheque,Mega
PAY0221,INV0267,2025-06-29,241465.15,Cheque,Mega
PAY0222,INV0269,2025-07-30,41566.17,Cheque,CTBC
PAY0223,INV0270,2025-09-15,72210.93,Cheque,CTBC
PAY0224,INV0271,2025-08-08,25442.67,Wire,CTBC
PAY0225,INV0271,2025-08-15,17307.5,Wire,CTBC
PAY0226,INV0272,2025-07-24,24173.3,Wire,Mega
PAY0227,INV0273,2025-07-26,274510.59,Cheque,Fubon
PAY0228,INV0274,2025-04-17,378954.41,Cheque,Mega
PAY0229,INV0276,2025-11-22,122181.15,Wire,CTBC
PAY0230,INV0278,2025-03-14,4432.45,Cheque,Mega
PAY0231,INV0279,2025-07-08,1052385.54,Cheque,Mega
PAY0232,INV0280,2025-10-12,221138.91,Cash,Mega
PAY0233,INV0282,2025-06-28,320640.62,Cheque,Fubon
PAY0234,INV0284,2025-05-31,669697.6,Wire,CTBC
PAY0235,INV0286,2025-07-12,194946.45,Wire,CTBC
PAY0236,INV0287,2025-08-30,7733.78,Cheque,Taishin
PAY0237,INV0288,2025-07-04,326046.58,Cheque,Taishin
PAY0238,INV0289,2025-05-03,77761.16,Cash,Taishin
PAY0239,INV0290,2025-04-20,124510.0,Cash,Mega
PAY0240,INV0291,2025-07-18,1023479.18,Cheque,Taishin
PAY0241,INV0292,2025-04-08,39590.57,Wire,Fubon
PAY0242,INV0292,2025-04-15,26453.37,Wire,CTBC
PAY0243,INV0293,2025-03-03,50590.22,Cheque,Mega
PAY0244,INV0294,2025-05-17,296446.72,Wire,CTBC
PAY0245,INV0294,2025-05-24,169858.48,Wire,Taishin
PAY0246,INV0295,2025-07-06,209802.9,Wire,CTBC
PAY0247,INV0295,2025-07-13,102238.97,Wire,CTBC
PAY0248,INV0296,2025-05-05,96401.62,Cheque,Fubon
PAY0249,INV0298,2025-06-04,492652.29,Cash,CTBC
PAY0250,INV0300,2025-06-24,134855.45,Cash,CTBC
PAY0251,INV0080,2025-05-03,564408.23,Wire,CTBC
PAY0252,INV0115,2025-05-20,76539.84,Wire,CTBC
PAY0253,INV0167,2025-02-27,1255361.49,Wire,CTBC
